Absage , ablehnen ,3.5
Absage , Stellenanzeige ,1.875
Affe , Gepäckkontrolle ,0.125
Affe , Makake ,4
Afrika , historisch ,1
Agentur , Irrtum ,0
Airbag , Kopfairbag ,3.875
analysieren , Analyse ,3.875
Ansehen , Schaden ,0.875
Arbeitssuchende , Bewerbung ,2.75
aufklären , erklären ,2.5
Aufpreis , Grundpreis ,3.125
Aufstieg , Erfolg ,3.25
aufzeichnen , schreiben ,2.75
Aussage , Auftritt ,1.375
Aussage , Rede ,2.375
Aussage , sagen ,3.375
Aussterben , bedrohen ,2.125
Auto , fahren ,3.5
Bayern , bayerisch ,4
Bayern , Deutschland ,3.5
Bayern , weißblau ,2.75
Beamter , Amt ,3.625
beginnen , dauern ,2.375
begründen , ausgehen ,0.875
Behörde , Vorschrift ,2.75
beinhalten , umfassen ,3.25
Benedetto , Benedikt ,3.625
Benziner , Dieselversion ,3
Berlin , Berlin-Kreuzberg ,3.375
Berufstätigkeit , Erfolg ,2.125
beschleunigen , übertreiben ,1.125
beschuldigen , Mitschuld ,2.5
Besucher , bekommen ,1.375
Bewerbung , Job ,2.375
Bild , ähneln ,1.375
Bild , Grafik ,3.125
Bild , Röntgenaufnahme ,3
Bild , Symbol ,2.125
Bild , visuell ,3
Böse , Gott ,2
Botschaft , sichtbar ,0.25
Büro , Schreibtisch ,3
Demut , demütig ,4
demütig , selbstbewußt ,1.875
Design , Optik ,2.625
Designer , Eleganz ,2.625
deutsch , deutsch ,3.875
deutsch , Bundesbürger ,3.5
Deutschland , Europa ,3.25
Ding , Gegenstand ,4
Doktorandin , Abteilung ,1.875
Doktorandin , Dissertationsthema ,2.625
Drehmoment , drehfreudig ,1.75
dringend , rasch ,2.375
Durchsicht , sehen ,2.75
einfach , komplex ,2.75
Einkommen , Gehaltsunterschied ,2
Einrichtung , Interior ,3.5
Einsamkeit , allein ,3.5
einsteigen , aussteigen ,2.75
Eleganz , klobig ,1.375
Eltern , Vater ,3.5
entgehen , bewundern ,0.125
entwickeln , Entwicklungschef ,2.625
Erfolg , erfolgreich ,4
Erfolg , Maßstab ,1.25
erforschen , herausfinden ,3.125
Erhalt , bedroht ,1
erkennen , sehen ,3
erklären , begründen ,2.5
erklären , machen ,0.5
ernst , ironisch ,2
erst , Ursprugsort ,1.375
Erwachsene , Geist ,0
Erwachsene , Kind ,2.625
erwarten , klären ,0
fahren , Automobil ,3
filtern , herausfiltern ,3.625
filtern , selektieren ,3.375
finden , herausfinden ,3
Fisch , schwimmen ,3.375
Flaschenöffner , Küchenwerkzeug ,3.625
fokussieren , Aufmerksamkeit ,2.625
folgen , sortieren ,0.25
Form , Farbe ,2.125
formulieren , Formulierung ,3.875
Formulierung , Stiftung ,0.125
Forscher , Wissenschaftler ,3.875
Frage , Antwort ,3.25
Franzose , deutsch ,2.375
Frau , Familie ,2.75
Frau , Mann ,3.25
Frühlingssonne , kitzeln ,1.25
Frust , frustrieren ,3.875
Frust , Leidensgenosse ,1.875
Frust , Rache ,1.875
geben , nehmen ,3.25
Gefühl , Frau ,1.75
Gegenwind , kritisieren ,0.5
Gehege , Zoo ,2.625
Gehirn , Kortex ,3.25
Gehirn , verstehen ,2.125
gemeinsam , leben ,1
Generation , Jugendliche ,2.5
geografisch , praktisch ,0.125
Gepäckkontrolle , Flughafen ,3.125
Gepäcknetz , Staumöglichkeit ,2.25
Geschirrdurcheinander , Menschenleben ,0.5
Geschlecht , Mann ,3
Gewalt , Friede ,2.625
Gewalt , Kämpfer ,2.625
Gewicht , Karriere ,0.375
Glaube , natürlich ,0.5
Glück , glücklich ,3.875
Gorilla , Schlange ,1.25
großzügig , schrumpfen ,0.5
gründen , Arbeitsgruppe ,0.75
Grundlagenforschung , verstehen ,1.625
Hand , Erwachsene ,1.375
Hand , Mensch ,2.75
heimisch , Urwaldhaus ,1
helfen , unterstützen ,3.375
herausstreichen , öffentlich ,0.5
Herkunft , Geschlecht ,1.375
Hintergrund , Fassade ,2
Hirn , Gehirn ,3.875
Hirnsignal , Neuronenaktivität ,3.5
Hoffnung , Resignation ,2.75
Honorarbasis , bezahlen ,3
Hunderttausend , Menge ,3
Hunger , Armut ,2.875
Inaugurationsmesse , Premiere ,2.125
informieren , erfahren ,2.625
Innenspiegel , Auto ,3.125
Internetseite , herunterladen ,3.25
italienisch , vergehen ,0
Jäger , Wald ,2.75
Kaffeetasse , parallel ,0
Kaffeetasse , Tasse ,3.75
Kamera , TV-Kamera ,3.75
kämpfen , idyllisch ,0.125
kämpfen , Veterinär ,0.375
Karriere , hinaufklettern ,2
Karriere , Risiko ,1
Kind , Familie ,3.375
Kompaktvan , Modell ,2.5
Kopfairbag , Seitenairbag ,3.25
Krankheit , reißen ,0.25
