Renal failure,Kidney failure,4
Heart,Myocardium,3
Stroke,Infarct,2.8
Abortion,Miscarriage,3.3
Delusion,Schizophrenia,2.2
Congestive heart failure,Pulmonary edema,1.4
Metastasis,Adenocarcinoma,1.8
Calcification,Stenosis,2
Diarrhea,Stomach cramps,1.3
Mitral stenosis,Atrial fibrillation,1.3
Chronic obstructive pulmonary disease,Lung infiltrates,1.9
Rheumatoid arthritis,Lupus,1.1
Brain tumor,Intracranial hemorrhage,1.3
Carpel tunnel syndrome,Osteoarthritis,1.1
Diabetes mellitus,Hypertension,1
Acne,Syringe,1
Antibiotic,Allergy,1.2
Cortisone,Total knee replacement,1
Pulmonary embolus,Myocardial infarction,1.2
Pulmonary fibrosis,Lung cancer,1.4
Cholangiocarcinoma,Colonoscopy,1
Lymphoid hyperplasia,Laryngeal cancer,1
Multiple sclerosis,Psychosis,1
Appendicitis,Osteoporosis,1
Rectal polyp,Aorta,1
Xerostomia,Alcoholic cirrhosis,1
Peptic ulcer disease,Myopia,1
Depression,Cellulites,1
Varicose vein,Entire knee meniscus,1
Hyperlipidemia,Metastasis,1
